Word,Frequency,Flag
drive,715,Driving
performance,644,Performance
driving,551,Driving
luxury,438,Luxury
engine,427,Performance
price,423,Price
handling,384,Driving
power,371,Power
interior,337,Interior
manual,315,Driving
sport,296,Design
class,275,Luxury
tires,242,Performance
torque,239,Performance
pretty,235,Looks
gas,209,Performance
auto,206,Driving
reliability,198,Performance
experience,192,Experience
miles,184,Performance
sports,171,Design
fast,164,Performance
automatic,161,Driving
mileage,157,Fuel
transmission,151,Driving
weight,145,Performance
wheels,141,Wheels
mph,140,Fuel
size,137,Looks
mpg,137,Fuel
wheel,134,Wheels
issue,132,Issue
styling,131,Looks
acceleration,130,Performance
steering,130,Driving
expensive,124,Price
suspension,119,Performance
steer,116,Driving
premium,116,Price
design,109,Looks
fuel,107,Performance
engines,101,Engine
leather,97,Looks
safety,92,Performance
smaller,91,Looks
exterior,91,Looks
turbo,91,Performance
style,90,Looks
sound,87,Performance
handle,83,Driving
powerful,82,Performance
traction,82,Wheels
service,81,Service
prices,81,Price
light,81,Looks
mile,78,Performance
